fare_amount,trip_distance,hour,date,RatecodeID,payment_type,extra,tolls_amount,PickUDropO
6.0,0.6,9,2017-05-02,1,1,0.0,0.0,326
6.5,0.43,9,2017-05-02,1,1,0.0,0.0,227
4.5,0.58,9,2017-05-02,1,1,0.0,0.0,226
9.5,1.7,9,2017-05-02,1,2,0.0,0.0,310
21.5,5.5,9,2017-05-02,1,1,0.0,0.0,250
6.5,0.96,9,2017-05-02,1,2,0.0,0.0,483
15.0,1.95,9,2017-05-02,1,1,0.0,0.0,302
5.0,0.0,9,2017-05-02,5,1,0.0,0.0,476
5.5,0.8,9,2017-05-02,1,1,0.0,0.0,473
14.0,2.06,9,2017-05-02,1,2,0.0,0.0,126
6.5,0.92,9,2017-05-02,1,1,0.0,0.0,261
6.0,0.94,9,2017-05-02,1,1,0.0,0.0,215
6.5,0.75,9,2017-05-02,1,1,0.0,0.0,330
15.5,2.7,9,2017-05-02,1,2,0.0,0.0,471
12.5,1.9,9,2017-05-02,1,2,0.0,0.0,400
6.0,0.78,9,2017-05-02,1,2,0.0,0.0,276
11.5,2.0,9,2017-05-02,1,2,0.0,0.0,285
8.0,1.2,9,2017-05-02,1,1,0.0,0.0,397
9.5,1.64,9,2017-05-02,1,1,0.0,0.0,389
10.0,1.66,9,2017-05-02,1,1,0.0,0.0,473
15.0,2.68,9,2017-05-02,1,1,0.0,0.0,284
7.0,0.94,9,2017-05-02,1,2,0.0,0.0,398
4.0,0.4,9,2017-05-02,1,2,0.0,0.0,211
8.0,1.1,9,2017-05-02,1,1,0.0,0.0,404
5.0,0.4,9,2017-05-02,1,1,0.0,0.0,407
21.5,4.1,9,2017-05-02,1,2,0.0,0.0,310
10.5,1.7,9,2017-05-02,1,1,0.0,0.0,216
10.0,1.36,9,2017-05-02,1,1,0.0,0.0,332
16.5,2.11,9,2017-05-02,1,2,0.0,0.0,349
10.0,1.5,9,2017-05-02,1,1,0.0,0.0,528
5.0,0.86,9,2017-05-02,1,1,0.0,0.0,526
6.0,0.3,9,2017-05-02,1,2,0.0,0.0,98
10.5,1.83,9,2017-05-02,1,2,0.0,0.0,426
18.0,2.8,9,2017-05-02,1,1,0.0,0.0,415
11.0,1.1,9,2017-05-02,1,1,0.0,0.0,390
8.5,0.85,9,2017-05-02,1,2,0.0,0.0,392
9.0,1.6,9,2017-05-02,1,2,0.0,0.0,473
6.0,1.1,9,2017-05-02,1,1,0.0,0.0,381
11.5,1.4,9,2017-05-02,1,1,0.0,0.0,226
15.5,3.6,9,2017-05-02,1,2,0.0,0.0,229
9.5,1.6,9,2017-05-02,1,2,0.0,0.0,98
16.5,2.98,9,2017-05-02,1,2,0.0,0.0,111
8.0,1.37,9,2017-05-02,1,1,0.0,0.0,473
6.5,1.45,9,2017-05-02,1,1,0.0,0.0,282
52.0,18.2,9,2017-05-02,2,2,0.0,5.76,362
12.0,2.0,9,2017-05-02,1,1,0.0,0.0,253
9.0,1.98,9,2017-05-02,1,1,0.0,0.0,409
7.5,0.8,9,2017-05-02,1,1,0.0,0.0,510
37.0,9.7,9,2017-05-02,1,1,0.0,5.76,372
4.5,0.7,9,2017-05-02,1,1,0.0,0.0,495
11.5,1.8,9,2017-05-02,1,1,0.0,0.0,262
7.0,0.9,9,2017-05-02,1,1,0.0,0.0,100
10.0,1.5,9,2017-05-02,1,1,0.0,0.0,285
11.5,1.71,9,2017-05-02,1,1,0.0,0.0,336
17.0,2.57,9,2017-05-02,1,1,0.0,0.0,274
5.0,0.75,9,2017-05-02,1,1,0.0,0.0,282
11.0,2.68,9,2017-05-02,1,1,0.0,0.0,278
15.0,4.6,9,2017-05-02,1,1,0.0,0.0,258
19.5,2.9,9,2017-05-02,1,1,0.0,0.0,275
15.0,3.2,9,2017-05-02,1,1,0.0,0.0,405
10.5,1.62,9,2017-05-02,1,1,0.0,0.0,290
14.0,1.62,9,2017-05-02,1,1,0.0,0.0,348
17.0,3.2,9,2017-05-02,1,1,0.0,0.0,461
9.0,1.7,9,2017-05-02,1,2,0.0,0.0,502
11.5,1.8,9,2017-05-02,1,1,0.0,0.0,228
5.0,0.6,9,2017-05-02,1,2,0.0,0.0,399
5.5,0.73,9,2017-05-02,1,1,0.0,0.0,192
18.0,4.1,9,2017-05-02,1,1,0.0,0.0,204
7.5,0.6,9,2017-05-02,1,2,0.0,0.0,281
9.0,1.0,9,2017-05-02,1,1,0.0,0.0,334
3.5,0.33,9,2017-05-02,1,2,0.0,0.0,332
9.0,0.5,9,2017-05-02,1,1,0.0,0.0,322
11.5,3.54,9,2017-05-02,1,2,0.0,0.0,309
11.0,1.5,9,2017-05-02,1,1,0.0,0.0,304
6.0,0.7,9,2017-05-02,1,1,0.0,0.0,192
5.5,0.4,9,2017-05-02,1,2,0.0,0.0,325
14.0,1.7,9,2017-05-02,1,1,0.0,0.0,220
16.0,3.4,9,2017-05-02,1,1,0.0,0.0,457
10.5,1.6,9,2017-05-02,1,1,0.0,0.0,282
8.0,0.56,9,2017-05-02,1,1,0.0,0.0,391
8.0,1.5,9,2017-05-02,1,1,0.0,0.0,206
33.0,9.8,9,2017-05-02,1,1,0.0,5.76,377
39.5,12.36,9,2017-05-02,1,1,0.0,5.76,299
9.0,1.6,9,2017-05-02,1,1,0.0,0.0,294
6.5,1.2,9,2017-05-02,1,2,0.0,0.0,190
10.0,1.9,9,2017-05-02,1,2,0.0,0.0,373
9.0,1.32,9,2017-05-02,1,1,0.0,0.0,416
5.0,0.69,9,2017-05-02,1,2,0.0,0.0,477
52.0,18.2,9,2017-05-02,2,1,0.0,0.0,362
8.0,1.5,9,2017-05-02,1,1,0.0,0.0,312
9.5,0.55,9,2017-05-02,1,1,0.0,0.0,403
13.0,2.0,9,2017-05-02,1,1,0.0,0.0,313
24.5,6.6,9,2017-05-02,1,1,0.0,0.0,174
8.5,1.1,9,2017-05-02,1,1,0.0,0.0,323
21.5,6.0,9,2017-05-02,1,1,0.0,0.0,227
8.0,1.6,9,2017-05-02,1,2,0.0,0.0,467
9.0,1.9,9,2017-05-02,1,1,0.0,0.0,474
12.0,2.0,9,2017-05-02,1,1,0.0,0.0,463
35.5,11.7,9,2017-05-02,1,1,0.0,5.76,245
10.5,1.44,9,2017-05-02,1,1,0.0,0.0,261
10.5,1.38,9,2017-05-02,1,2,0.0,0.0,480
38.5,8.49,9,2017-05-02,1,1,0.0,5.76,238
14.5,2.6,9,2017-05-02,1,1,0.0,0.0,199
9.0,1.0,9,2017-05-02,1,1,0.0,0.0,432
14.0,1.94,9,2017-05-02,1,1,0.0,0.0,528
7.0,0.5,9,2017-05-02,1,1,0.0,0.0,332
7.0,1.2,9,2017-05-02,1,1,0.0,0.0,136
7.5,1.2,9,2017-05-02,1,1,0.0,0.0,387
8.0,1.5,9,2017-05-02,1,2,0.0,0.0,49
8.5,1.5,9,2017-05-02,1,1,0.0,0.0,321
27.5,6.46,9,2017-05-02,1,2,0.0,0.0,174
6.5,0.8,9,2017-05-02,1,2,0.0,0.0,180
